mechanic_id	family	evidence_source	evidence_state	original_artifact	original_process	recovered_contract	k4l_owner	dependencies	admission	source_state	final_device_question
SB-001	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-001	PROVEN	SpringBoard applicationDidFinishLaunching:	SpringBoard	Initializes shared state/lifecycle after Apple launch handling.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-002	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-002	PROVEN	SpringBoard frontDisplayDidChange:	SpringBoard	Tracks foreground bundle/application and publishes Snapchat-active state.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-003	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-003	PROVEN	SBDeckSwitcherViewController handleGestureDidBegin:	SpringBoard	Calls Apple original, then cleans/dismisses Hush-owned picker/overlay state.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-004	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-004	PROVEN	SBFluidSwitcherViewController didBegin gesture	SpringBoard	Calls original, then same owned-UI cleanup path.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-005	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-005	PROVEN	SBHomeHardwareButton single/accelerated press	SpringBoard	Calls original, then owned picker/overlay cleanup.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-006	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-006	PROVEN	SBMainSwitcherViewController transition hook	SpringBoard	Hooks layoutStateTransitionCoordinator:transitionDidBeginWithTransitionContext:, void(self,_cmd,arg1,arg2), calls original and participates in switcher/UI cleanup cluster.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	Full branch-by-branch replacement side effects remain partially flattened.
SB-007	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-007	PROVEN	SBLockScreenManager lockScreenViewControllerDidDismiss	SpringBoard	Coordinates recording/UI state after lock-screen dismissal.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SB-008	SpringBoard	Hush_Mechanics_Ledger.tsv#SB-008	PROVEN	UIAlertController styling hooks	SpringBoard/UI host	Applies Hush alert visual/layout styling.	Hooks/SpringBoard/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SHOT-001	Screenshot	Hush_Mechanics_Ledger.tsv#SHOT-001	PROVEN	FBScene sendActions:	SpringBoard	Removes only UIDidTakeScreenshotAction; forwards all unrelated actions unchanged.	Hooks/ScreenshotServices/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SHOT-002	Screenshot	Hush_Mechanics_Ledger.tsv#SHOT-002	PROVEN	SSSnapshotter _captureScreen:withScreenshotOptions:	ScreenshotServicesService	When suppression policy is active, returns the suppressed empty result instead of creating screenshot.	Hooks/ScreenshotServices/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SHOT-003	Screenshot	Hush_Mechanics_Ledger.tsv#SHOT-003	PROVEN	SSScreenshotAssetManagerPhotoLibraryBackend imageDataFromImage:withProperties:	ScreenshotServicesService	Allows encoding, optionally writes PNG/JPEG to /var/mobile/Documents/MediaCaptures/cap_<milliseconds>.<ext>.	Hooks/ScreenshotServices/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SHOT-004	Screenshot	Hush_Mechanics_Ledger.tsv#SHOT-004	PROVEN	registerEntryWithImage:options:identifierHandler:	ScreenshotServicesService	Intercepts photo-library registration layer.	Hooks/ScreenshotServices/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
SHOT-005	Screenshot	Hush_Mechanics_Ledger.tsv#SHOT-005	PROVEN	screenshotSpam	shared	No working 1.0.1 backend.	docs/	None — documentation boundary only	EXCLUDED	BLOCKED	Can only return as an explicitly new K4LSnap feature.
REC-001	ReplayKit	Hush_Mechanics_Ledger.tsv#REC-001	PROVEN	RPScreenRecorder hooks	SpringBoard/ScreenshotServices	Routes system recording lifecycle through a real controller, not forged Boolean getters.	Hooks/ReplayKit/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
REC-002	ReplayKit	Hush_Mechanics_Ledger.tsv#REC-002	PROVEN	capture writer	SpringBoard	MP4 writer; H.264/HEVC policy; 8 Mbps; identity transform; AAC stereo 128 kbps; captured sample rate with 48 kHz fallback.	Hooks/ReplayKit/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
REC-003	ReplayKit	Hush_Mechanics_Ledger.tsv#REC-003	PROVEN	recording state machine	SpringBoard	Idle/starting/recording/stopping/completed/failed, sample ingestion, stop/finalize, output URL and completions.	Hooks/ReplayKit/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
REC-004	ReplayKit	Hush_Mechanics_Ledger.tsv#REC-004	PROVEN	RPControlCenterClient init	SpringBoard	Participates in system recording/Control Center integration.	Hooks/ReplayKit/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
