mechanic_id	family	evidence_source	evidence_state	original_artifact	original_process	recovered_contract	k4l_owner	dependencies	admission	source_state	final_device_question
PKG-001	Package	Hush_Mechanics_Ledger.tsv#PKG-001	PROVEN	control metadata	dpkg	Four-part runtime plus resources and packaging scripts.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	SOURCE COMPLETE	
PKG-002	Package	Hush_Mechanics_Ledger.tsv#PKG-002	PROVEN	architecture matrix	all	Dylib/prefs/helper arm64+arm64e; daemon arm64 in recovered package.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	SOURCE COMPLETE	
PKG-003	Package	Hush_Mechanics_Ledger.tsv#PKG-003	PROVEN	dependencies	dpkg	mobilesubstrate, Choicy, unzip, zip, PreferenceLoader.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	NOT STARTED	
PKG-004	Package	Hush_Mechanics_Ledger.tsv#PKG-004	PROVEN	rootless/roothide bootstrap	postinst/prerm	Resolves root path and creates loader-relative roothide symlink before invoking helper.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	NOT STARTED	
PKG-005	Package	Hush_Mechanics_Ledger.tsv#PKG-005	PROVEN	install lifecycle	postinst	Privileged helper performs installation/bootstrap work; script tolerates helper failure.	Daemon/Lifecycle/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
PKG-006	Package	Hush_Mechanics_Ledger.tsv#PKG-006	PROVEN	remove lifecycle	prerm/postrm	Keeps cleanup executable alive after dpkg removes installed helper.	Daemon/Lifecycle/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
PKG-007	Package	Hush_Mechanics_Ledger.tsv#PKG-007	PROVEN	launch daemon	launchd	Resident privileged daemon with RunAtLoad/KeepAlive semantics.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	NOT STARTED	
PKG-008	Package	Hush_Mechanics_Ledger.tsv#PKG-008	PROVEN	resources	dylib resources	UI/icon/crop resources are shipped beside substrate dylib.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	NOT STARTED	
INJ-001	Injection	Hush_Mechanics_Ledger.tsv#INJ-001	PROVEN	primary substrate filter	SpringBoard + system services	Primary dylib targets SpringBoard, mediaserverd, audiomxd, backboardd, cameracaptured, powerd, ScreenshotServicesService.	Packaging/	Evidence manifest; completed owning runtime components	ADMITTED	NOT STARTED	Resolve the exact backboardd event-tap/HID mechanic associated with the proven filter and BackBoard artifacts.
INJ-002	Injection	Hush_Mechanics_Ledger.tsv#INJ-002	PROVEN	Snapchat secondary injection	hushctl / Choicy	Mutates Choicy app settings/allowed tweaks, posts ReloadPrefs, and uses opainject for Snapchat-specific injection.	Tools/	Core command/result models; typed IPC daemon client	ADMITTED	NOT STARTED	Exact target-version rollback details still need controlled device observation.
INJ-003	Injection	Hush_Mechanics_Ledger.tsv#INJ-003	PROVEN	restart/lifecycle	hushctl	Restarts services/Snapchat so injection and version-spoof changes take effect.	Tools/	Core command/result models; typed IPC daemon client	ADMITTED	NOT STARTED	
PREF-001	Preferences	Hush_Mechanics_Ledger.tsv#PREF-001	PROVEN	_UISystemPreferencesStore	shared/prefs/tweak	Central global/account/friend policy store with migrations and many feature properties.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	Exact obfuscated method-to-field map is only partially recovered.
PREF-002	Preferences	Hush_Mechanics_Ledger.tsv#PREF-002	PROVEN	feature keys	shared	Boolean/global feature state and category policy.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	
PREF-003	Preferences	Hush_Mechanics_Ledger.tsv#PREF-003	PROVEN	per-account location	shared/daemon	Stores separate spoofed location per Snapchat account and daemon resume state.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	
PREF-004	Preferences	Hush_Mechanics_Ledger.tsv#PREF-004	PROVEN	per-friend/category rules	shared/daemon	Per-friend rule overrides and category-level auto-save/ghost policies.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	Exact serialized bit positions and all category masks need more lifting.
PREF-005	Preferences	Hush_Mechanics_Ledger.tsv#PREF-005	PROVEN	media destinations	prefs/media	Photos, Files/custom directory, Media Vault, per-sender folders/albums, custom paths and retention.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	
PREF-006	Preferences	Hush_Mechanics_Ledger.tsv#PREF-006	PROVEN	UI-only/residue controls	prefs	Some rows exist without an active backend in 1.0.1, e.g. screenshotSpam.	docs/	None — documentation boundary only	EXCLUDED	BLOCKED	
