mechanic_id	family	evidence_source	evidence_state	original_artifact	original_process	recovered_contract	k4l_owner	dependencies	admission	source_state	final_device_question
GHOST-001	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-001	PROVEN	ucm_replay_seq	Snapchat SQLite via daemon	Blocks update_case 13 replay mutation.	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
GHOST-002	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-002	PROVEN	ucm_save_seq	Snapchat SQLite via daemon	Blocks update_case 6 save mutation.	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
GHOST-003	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-003	PROVEN	ucm_tread_seq	Snapchat SQLite via daemon	Blocks update_case 4 for text messages (remote_media_count=0).	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
GHOST-004	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-004	PROVEN	ucm_mview_seq	Snapchat SQLite via daemon	Blocks update_case 4 for media messages (remote_media_count>0).	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
GHOST-005	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-005	PROVEN	cm_tombstone_idx	Snapchat SQLite via daemon	Ignores deletion/tombstone rows when original message exists.	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
GHOST-006	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-006; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Hush_Resolved_SQL_Triggers_With_Snapchat_14_15_0_48.tsv	PROVEN	cm_send_state_a/b	Snapchat SQLite via daemon	Blocks outgoing SENDING rows for STATUS_SAVE_TO_CAMERA_ROLL (content_type 9) and STATUS_SNAP_REMIX_CAPTURE (content_type 30).	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	Confirm sender/recipient-visible effects of suppressing save-to-camera-roll and Remix status rows.
GHOST-007	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-007; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Hush_Resolved_SQL_Triggers_With_Snapchat_14_15_0_48.tsv	PROVEN	fot_mut_seq	Snapchat SQLite via daemon	Ignores flow_orchestration_task mutation_type 3, resolved by the pinned IPA as the UpdateConversation orchestration category.	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	Pin the exact Hush policy bit controlling the UpdateConversation orchestration trigger.
GHOST-008	Snapchat database	Hush_Mechanics_Ledger.tsv#GHOST-008	PROVEN	ucm_read_seq	Snapchat SQLite via daemon	Drops stale legacy trigger during reconciliation.	Daemon/SQLTriggers/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
PRES-001	Snapchat Valdi	Hush_Mechanics_Ledger.tsv#PRES-001; Snapchat_14_15_0_48_IPA_Resolution_Report.md	PROVEN	presence.valdimodule	Snapchat container patched by daemon	Patches the pinned presence Valdi module for in-chat bit 0, typing state beginning at bit 4, voice-note/text activity bit 6, peeking bit 8 and action pose beginning at bit 9.	Daemon/ValdiPatches/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
PRES-002	Snapchat Valdi	Hush_Mechanics_Ledger.tsv#PRES-002; Snapchat_14_15_0_48_IPA_Resolution_Report.md	PROVEN	voice_notes.valdimodule	Snapchat container patched by daemon	Patches the pinned voice_notes Valdi module to extend playback speeds from [1,1.5,2] to [1,1.5,2,2.5,3,3.5,4], with exact-hash backup and restoration.	Daemon/ValdiPatches/	Core contracts; typed IPC command/result contracts	ADMITTED	NOT STARTED	
PRES-003	Snapchat private	Hush_Mechanics_Ledger.tsv#PRES-003; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Snapchat_14_15_0_48_Private_API_Map.tsv	PROVEN	typing/presence UI mapping	Snapchat	Suppress Typing Indicator prevents typing state; Hide Chat Presence/peek features modify presence bits.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
GHOST-009	Snapchat private	Hush_Mechanics_Ledger.tsv#GHOST-009	PROVEN	per-friend ghost policy	shared/daemon	Friend-specific ghost policy takes priority over global category settings.	Core/Preferences/	Foundation/CoreFoundation value contracts only	ADMITTED	NOT STARTED	
GHOST-010	Snapchat private	Hush_Mechanics_Ledger.tsv#GHOST-010; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Snapchat_14_15_0_48_Private_API_Map.tsv	PROVEN	disableTapSave	Snapchat app	Feature exists as an app-side policy, not one of the recovered SQL triggers.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
GHOST-011	Snapchat private	Hush_Mechanics_Ledger.tsv#GHOST-011; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Snapchat_14_15_0_48_Private_API_Map.tsv	PROVEN	Story Ghost	Snapchat/daemon	Story view suppression uses the pinned SCStoriesSnapReadReceiptCoordinator insert/save/flush/reset receipt surfaces for Snapchat 14.15.0.48.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	Resolve Story receipt action values and selector sequence for each story type.
GHOST-012	Snapchat private	Hush_Mechanics_Ledger.tsv#GHOST-012; Snapchat_14_15_0_48_IPA_Resolution_Report.md	PROVEN	Suppress Remix	Snapchat/daemon	Prevents “remixed your snap” notifications.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
GHOST-013	Snapchat private	Hush_Mechanics_Ledger.tsv#GHOST-013; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Snapchat_14_15_0_48_Private_API_Map.tsv	PROVEN	Unsave mode	Snapchat app/database	On chat open, save mode saves unsaved messages; unsave mode removes saved state.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
VER-001	Compatibility	Hush_Mechanics_Ledger.tsv#VER-001	PROVEN	Snapchat version spoofing	Snapchat/app injection	Reports/spoofs Snapchat version after restart.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
VER-002	Compatibility	Hush_Mechanics_Ledger.tsv#VER-002; Snapchat_14_15_0_48_IPA_Resolution_Report.md; Snapchat_14_15_0_48_Private_API_Map.tsv	PROVEN	private class/selector hooks	Snapchat	Pins exact private class names, selectors and Objective-C type encodings to Snapchat 14.15.0 build 14.15.0.48; every capability fails closed on any mismatch.	Hooks/Snapchat/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	Confirm selector call order, object semantics and completion behavior on Snapchat 14.15.0.48.
