mechanic_id	family	evidence_source	evidence_state	original_artifact	original_process	recovered_contract	k4l_owner	dependencies	admission	source_state	final_device_question
CAM-001	Camera	Hush_Mechanics_Ledger.tsv#CAM-001	PROVEN	BWStillImageSampleBufferSinkNode	cameracaptured/mediaserverd	Intercepts renderSampleBuffer:forInput:.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
CAM-002	Camera	Hush_Mechanics_Ledger.tsv#CAM-002	PROVEN	BWRemoteQueueSinkNode	cameracaptured/mediaserverd	Second sink shares same processor.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
CAM-003	Camera	Hush_Mechanics_Ledger.tsv#CAM-003	PROVEN	sample disposition	capture callback	0=pass original, 1=drop, other pointer=replace; exceptions pass original.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
CAM-004	Camera	Hush_Mechanics_Ledger.tsv#CAM-004	PROVEN	replacement timing/metadata	capture callback	Preserves PTS only; duration/decode invalid; does not copy attachments; rebuilds format description.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
CAM-005	Camera	Hush_Mechanics_Ledger.tsv#CAM-005	PROVEN	front/rear routing	capture process	Front camera when subgraphName contains Front; independent front/rear media.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
CAM-006	Camera	Hush_Mechanics_Ledger.tsv#CAM-006	PROVEN	media source provider	capture process/background worker	Still and looping video source; aspect-fill/center-crop over black; small frames pass through.	Hooks/CameraCapture/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-001	Audio	Hush_Mechanics_Ledger.tsv#AUD-001	PROVEN	AudioDeviceCreateIOProcID	audiomxd/mediaserverd	Wraps IOProc registration and stores original callback/client data.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-002	Audio	Hush_Mechanics_Ledger.tsv#AUD-002	PROVEN	AudioDeviceCreateIOProcIDWithBlock	audiomxd/mediaserverd	Wraps block callback while preserving Apple ABI.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-003	Audio	Hush_Mechanics_Ledger.tsv#AUD-003	PROVEN	AudioDeviceStart/Stop	audiomxd/mediaserverd	Activates/deactivates per-device callback context and resets cursor at start.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-004	Audio	Hush_Mechanics_Ledger.tsv#AUD-004	PROVEN	eight callback slots	audiomxd/mediaserverd	Eight runtime entries are IOProc callbacks, not missing exported functions.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-005	Audio	Hush_Mechanics_Ledger.tsv#AUD-005	PROVEN	AudioObjectSetPropertyData suse	audiomxd/mediaserverd	Observes mNumberStreams==2 and stream 0 active, publishes activity, then calls original unchanged.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
AUD-006	Audio	Hush_Mechanics_Ledger.tsv#AUD-006	PROVEN	microphone media substitution	audiomxd/mediaserverd	Copies decoded PCM into active input buffers with loop/silence policy.	Hooks/AudioMixer/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
PWR-001	Power	Hush_Mechanics_Ledger.tsv#PWR-001	PROVEN	IOPSSetPowerSourceDetails	powerd	Copies power dictionary and coherently overrides charging/external/full/current capacity/power-source fields.	Hooks/Power/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
PWR-002	Power	Hush_Mechanics_Ledger.tsv#PWR-002	PROVEN	MaxCapacity	powerd	Calls and returns genuine capacity while caching it for coherent override state.	Hooks/Power/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
PWR-003	Power	Hush_Mechanics_Ledger.tsv#PWR-003	PROVEN	BCBatteryDevice setters	powerd/SpringBoard where class exists	Caches real percentage/charging/connected/source state and applies/restores override.	Hooks/Power/	Core contracts; process role; typed preferences/runtime state; narrow IPC client when required	ADMITTED	NOT STARTED	
