mechanic_id	family	evidence_source	evidence_state	original_artifact	original_process	recovered_contract	k4l_owner	dependencies	admission	source_state	final_device_question
MED-001	Media	Hush_Mechanics_Ledger.tsv#MED-001	PROVEN	archive root	hushdaemon/shared storage	Per-account durable media archive with temporary staging.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-002	Media	Hush_Mechanics_Ledger.tsv#MED-002	PROVEN	SQLite engine	hushdaemon	WAL, synchronous=NORMAL, schema probes, transactions, checkpoints and per-account databases.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-003	Media	Hush_Mechanics_Ledger.tsv#MED-003	PROVEN	deduplication	hushdaemon	Uses content/external keys to prevent duplicates and find cached media.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-004	Media	Hush_Mechanics_Ledger.tsv#MED-004	PROVEN	archive categories	hushdaemon	Snaps, chat media, stories, voice notes, strangers and Discover, with per-friend rules.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-005	Media	Hush_Mechanics_Ledger.tsv#MED-005	PROVEN	orphan/cleanup	hushdaemon	Reconciles temporary/orphan media and prunes according to retention policy.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-006	Media	Hush_Mechanics_Ledger.tsv#MED-006	PROVEN	thumbnails/previews	dylib/prefs/daemon	Generates poster frames/thumbnails/previews for gallery.	Media/Preview/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-007	Media	Hush_Mechanics_Ledger.tsv#MED-007	PROVEN	save destinations	prefs/daemon	Exports to Photos, custom directories, clipboard/share and internal vault.	Media/Export/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-008	Media	Hush_Mechanics_Ledger.tsv#MED-008	PROVEN	URL save worker	hushdaemon/prefs	Downloads public Spotlight/story/profile media and imports it into archive.	Media/Import/	Core models and typed preferences	ADMITTED	NOT STARTED	
MED-009	Media	Hush_Mechanics_Ledger.tsv#MED-009	PROVEN	voice notes	daemon/prefs/Valdi	Archives voice notes, supports upload/edit/background play and extends playback speeds.	Media/Vault/	Core models and typed preferences	ADMITTED	NOT STARTED	
SNAP-PUB-001	Snapchat public	Hush_Mechanics_Ledger.tsv#SNAP-PUB-001	PROVEN	Creative Kit pasteboard	Snapchat app handoff	Writes background image/video, caption and client ID; opens snapchat://creativekit preview/camera route.	Media/PendingSend/	Core models and typed preferences	ADMITTED	NOT STARTED	
SNAP-PUB-002	Snapchat public	Hush_Mechanics_Ledger.tsv#SNAP-PUB-002	PROVEN	pending send	shared media/prefs	Prepared media is referenced durably then handed to Snapchat public route.	Media/PendingSend/	Core models and typed preferences	ADMITTED	NOT STARTED	
